"start","end","downloads","package","total"
2015-08-01,2015-08-31,987,"d3heatmap",2555
2015-09-01,2015-09-30,912,"d3heatmap",3467
2015-10-01,2015-10-31,1095,"d3heatmap",4562
2015-11-01,2015-11-30,1162,"d3heatmap",5724
2015-12-01,2015-12-31,1152,"d3heatmap",6876
2016-01-01,2016-01-31,1244,"d3heatmap",8120
2016-02-01,2016-02-29,1576,"d3heatmap",9696
2016-03-01,2016-03-31,2231,"d3heatmap",11927
2016-04-01,2016-04-30,1684,"d3heatmap",13611
2016-05-01,2016-05-31,2266,"d3heatmap",15877
2016-06-01,2016-06-30,2164,"d3heatmap",18041
2016-07-01,2016-07-31,1971,"d3heatmap",20012
2016-08-01,2016-08-31,1765,"d3heatmap",21777
2016-09-01,2016-09-30,2008,"d3heatmap",23785
2016-10-01,2016-10-31,2277,"d3heatmap",26062
2016-11-01,2016-11-30,2446,"d3heatmap",28508
2016-12-01,2016-12-31,2501,"d3heatmap",31009
2017-01-01,2017-01-31,2309,"d3heatmap",33318
2017-02-01,2017-02-28,2335,"d3heatmap",35653
2017-03-01,2017-03-31,3105,"d3heatmap",38758
2017-04-01,2017-04-30,2930,"d3heatmap",41688
2017-05-01,2017-05-31,3421,"d3heatmap",45109
2017-06-01,2017-06-30,3113,"d3heatmap",48222
2017-07-01,2017-07-31,2896,"d3heatmap",51118
2017-08-01,2017-08-31,2925,"d3heatmap",54043
2017-09-01,2017-09-30,2776,"d3heatmap",56819
2017-10-01,2017-10-31,3320,"d3heatmap",60139
2017-11-01,2017-11-30,3577,"d3heatmap",63716
2017-12-01,2017-12-31,2684,"d3heatmap",66400
2018-01-01,2018-01-31,3057,"d3heatmap",69457
2018-02-01,2018-02-28,5602,"d3heatmap",75059
2018-03-01,2018-03-31,4459,"d3heatmap",79518
2018-04-01,2018-04-30,3860,"d3heatmap",83378
2018-05-01,2018-05-31,3808,"d3heatmap",87186
2018-06-01,2018-06-30,3390,"d3heatmap",90576
2018-07-01,2018-07-08,603,"d3heatmap",91179
2016-10-01,2016-10-31,203,"D3partitionR",203
2016-11-01,2016-11-30,310,"D3partitionR",513
2016-12-01,2016-12-31,1221,"D3partitionR",1734
2017-01-01,2017-01-31,235,"D3partitionR",1969
2017-02-01,2017-02-28,195,"D3partitionR",2164
2017-03-01,2017-03-31,168,"D3partitionR",2332
2017-04-01,2017-04-30,367,"D3partitionR",2699
2017-05-01,2017-05-31,210,"D3partitionR",2909
2017-06-01,2017-06-30,202,"D3partitionR",3111
2017-07-01,2017-07-31,195,"D3partitionR",3306
2017-08-01,2017-08-31,204,"D3partitionR",3510
2017-09-01,2017-09-30,238,"D3partitionR",3748
2017-10-01,2017-10-31,1519,"D3partitionR",5267
2017-11-01,2017-11-30,242,"D3partitionR",5509
2017-12-01,2017-12-31,160,"D3partitionR",5669
2018-01-01,2018-01-31,218,"D3partitionR",5887
2018-02-01,2018-02-28,186,"D3partitionR",6073
2018-03-01,2018-03-31,200,"D3partitionR",6273
2018-04-01,2018-04-30,331,"D3partitionR",6604
2018-05-01,2018-05-31,264,"D3partitionR",6868
2018-06-01,2018-06-30,379,"D3partitionR",7247
2018-07-01,2018-07-08,79,"D3partitionR",7326
2017-04-01,2017-04-30,589,"d3Tree",589
2017-05-01,2017-05-31,312,"d3Tree",901
2017-06-01,2017-06-30,866,"d3Tree",1767
2017-07-01,2017-07-31,307,"d3Tree",2074
2017-08-01,2017-08-31,352,"d3Tree",2426
2017-09-01,2017-09-30,296,"d3Tree",2722
2017-10-01,2017-10-31,352,"d3Tree",3074
2017-11-01,2017-11-30,279,"d3Tree",3353
2017-12-01,2017-12-31,234,"d3Tree",3587
2018-01-01,2018-01-31,296,"d3Tree",3883
2018-02-01,2018-02-28,218,"d3Tree",4101
2018-03-01,2018-03-31,289,"d3Tree",4390
2018-04-01,2018-04-30,448,"d3Tree",4838
2018-05-01,2018-05-31,295,"d3Tree",5133
2018-06-01,2018-06-30,277,"d3Tree",5410
2018-07-01,2018-07-08,50,"d3Tree",5460
2014-12-01,2014-12-31,166,"dashboard",166
2015-01-01,2015-01-31,330,"dashboard",496
2015-02-01,2015-02-28,278,"dashboard",774
2015-03-01,2015-03-31,318,"dashboard",1092
2015-04-01,2015-04-30,414,"dashboard",1506
2015-05-01,2015-05-31,294,"dashboard",1800
2015-06-01,2015-06-30,285,"dashboard",2085
2015-07-01,2015-07-31,253,"dashboard",2338
2015-08-01,2015-08-31,291,"dashboard",2629
2015-09-01,2015-09-30,294,"dashboard",2923
2015-10-01,2015-10-31,328,"dashboard",3251
2015-11-01,2015-11-30,305,"dashboard",3556
2015-12-01,2015-12-31,266,"dashboard",3822
2016-01-01,2016-01-31,327,"dashboard",4149
2016-02-01,2016-02-29,261,"dashboard",4410
2016-03-01,2016-03-31,223,"dashboard",4633
2016-04-01,2016-04-30,229,"dashboard",4862
2016-05-01,2016-05-31,201,"dashboard",5063
2016-06-01,2016-06-30,216,"dashboard",5279
2016-07-01,2016-07-31,234,"dashboard",5513
2016-08-01,2016-08-31,146,"dashboard",5659
2016-09-01,2016-09-30,167,"dashboard",5826
2016-10-01,2016-10-31,234,"dashboard",6060
2016-11-01,2016-11-30,280,"dashboard",6340
2016-12-01,2016-12-31,255,"dashboard",6595
2017-01-01,2017-01-31,206,"dashboard",6801
2017-02-01,2017-02-28,189,"dashboard",6990
2017-03-01,2017-03-31,221,"dashboard",7211
2017-04-01,2017-04-30,388,"dashboard",7599
2017-05-01,2017-05-31,258,"dashboard",7857
2017-06-01,2017-06-30,227,"dashboard",8084
2017-07-01,2017-07-31,231,"dashboard",8315
2017-08-01,2017-08-31,200,"dashboard",8515
2017-09-01,2017-09-30,259,"dashboard",8774
2017-10-01,2017-10-31,281,"dashboard",9055
2017-11-01,2017-11-30,288,"dashboard",9343
2017-12-01,2017-12-31,168,"dashboard",9511
2018-01-01,2018-01-31,223,"dashboard",9734
2018-02-01,2018-02-28,189,"dashboard",9923
2018-03-01,2018-03-31,216,"dashboard",10139
2018-04-01,2018-04-30,309,"dashboard",10448
2018-05-01,2018-05-31,263,"dashboard",10711
2018-06-01,2018-06-30,245,"dashboard",10956
2018-07-01,2018-07-08,51,"dashboard",11007
2018-03-01,2018-03-31,401,"datamaps",401
2018-04-01,2018-04-30,639,"datamaps",1040
2018-05-01,2018-05-31,495,"datamaps",1535
2018-06-01,2018-06-30,167,"datamaps",1702
2018-07-01,2018-07-08,43,"datamaps",1745
2014-12-01,2014-12-31,145,"dygraphs",145
2015-01-01,2015-01-31,834,"dygraphs",979
2015-02-01,2015-02-28,876,"dygraphs",1855
2015-03-01,2015-03-31,1880,"dygraphs",3735
2015-04-01,2015-04-30,2525,"dygraphs",6260
2015-05-01,2015-05-31,1970,"dygraphs",8230
2015-06-01,2015-06-30,2684,"dygraphs",10914
2015-07-01,2015-07-31,2103,"dygraphs",13017
2015-08-01,2015-08-31,2708,"dygraphs",15725
2015-09-01,2015-09-30,2795,"dygraphs",18520
2015-10-01,2015-10-31,3694,"dygraphs",22214
2015-11-01,2015-11-30,3545,"dygraphs",25759
2015-12-01,2015-12-31,4229,"dygraphs",29988
2016-01-01,2016-01-31,5255,"dygraphs",35243
2016-02-01,2016-02-29,5269,"dygraphs",40512
2016-03-01,2016-03-31,5807,"dygraphs",46319
2016-04-01,2016-04-30,5228,"dygraphs",51547
2016-05-01,2016-05-31,6130,"dygraphs",57677
2016-06-01,2016-06-30,5649,"dygraphs",63326
2016-07-01,2016-07-31,4850,"dygraphs",68176
2016-08-01,2016-08-31,8348,"dygraphs",76524
2016-09-01,2016-09-30,8872,"dygraphs",85396
2016-10-01,2016-10-31,7645,"dygraphs",93041
2016-11-01,2016-11-30,11998,"dygraphs",105039
2016-12-01,2016-12-31,7673,"dygraphs",112712
2017-01-01,2017-01-31,13505,"dygraphs",126217
2017-02-01,2017-02-28,9467,"dygraphs",135684
2017-03-01,2017-03-31,10129,"dygraphs",145813
2017-04-01,2017-04-30,9184,"dygraphs",154997
2017-05-01,2017-05-31,8574,"dygraphs",163571
2017-06-01,2017-06-30,8440,"dygraphs",172011
2017-07-01,2017-07-31,7497,"dygraphs",179508
2017-08-01,2017-08-31,8046,"dygraphs",187554
2017-09-01,2017-09-30,12157,"dygraphs",199711
2017-10-01,2017-10-31,9181,"dygraphs",208892
2017-11-01,2017-11-30,9590,"dygraphs",218482
2017-12-01,2017-12-31,18566,"dygraphs",237048
2018-01-01,2018-01-31,10370,"dygraphs",247418
2018-02-01,2018-02-28,8640,"dygraphs",256058
2018-03-01,2018-03-31,13902,"dygraphs",269960
2018-04-01,2018-04-30,17990,"dygraphs",287950
2018-05-01,2018-05-31,21640,"dygraphs",309590
2018-06-01,2018-06-30,22194,"dygraphs",331784
2018-07-01,2018-07-08,6348,"dygraphs",338132
2013-11-01,2013-11-30,174,"dynBiplotGUI",174
2013-12-01,2013-12-31,179,"dynBiplotGUI",353
2014-01-01,2014-01-31,236,"dynBiplotGUI",589
2014-02-01,2014-02-28,196,"dynBiplotGUI",785
2014-03-01,2014-03-31,214,"dynBiplotGUI",999
2014-04-01,2014-04-30,224,"dynBiplotGUI",1223
2014-05-01,2014-05-31,185,"dynBiplotGUI",1408
2014-06-01,2014-06-30,171,"dynBiplotGUI",1579
2014-07-01,2014-07-31,237,"dynBiplotGUI",1816
2014-08-01,2014-08-31,284,"dynBiplotGUI",2100
2014-09-01,2014-09-30,187,"dynBiplotGUI",2287
2014-10-01,2014-10-31,229,"dynBiplotGUI",2516
2014-11-01,2014-11-30,336,"dynBiplotGUI",2852
2014-12-01,2014-12-31,292,"dynBiplotGUI",3144
2015-01-01,2015-01-31,339,"dynBiplotGUI",3483
2015-02-01,2015-02-28,284,"dynBiplotGUI",3767
2015-03-01,2015-03-31,353,"dynBiplotGUI",4120
2015-04-01,2015-04-30,443,"dynBiplotGUI",4563
2015-05-01,2015-05-31,347,"dynBiplotGUI",4910
2015-06-01,2015-06-30,308,"dynBiplotGUI",5218
2015-07-01,2015-07-31,243,"dynBiplotGUI",5461
2015-08-01,2015-08-31,295,"dynBiplotGUI",5756
2015-09-01,2015-09-30,281,"dynBiplotGUI",6037
2015-10-01,2015-10-31,305,"dynBiplotGUI",6342
2015-11-01,2015-11-30,272,"dynBiplotGUI",6614
2015-12-01,2015-12-31,229,"dynBiplotGUI",6843
2016-01-01,2016-01-31,297,"dynBiplotGUI",7140
2016-02-01,2016-02-29,266,"dynBiplotGUI",7406
2016-03-01,2016-03-31,193,"dynBiplotGUI",7599
2016-04-01,2016-04-30,209,"dynBiplotGUI",7808
2016-05-01,2016-05-31,150,"dynBiplotGUI",7958
2016-06-01,2016-06-30,135,"dynBiplotGUI",8093
2016-07-01,2016-07-31,185,"dynBiplotGUI",8278
2016-08-01,2016-08-31,120,"dynBiplotGUI",8398
2016-09-01,2016-09-30,141,"dynBiplotGUI",8539
2016-10-01,2016-10-31,173,"dynBiplotGUI",8712
2016-11-01,2016-11-30,214,"dynBiplotGUI",8926
2016-12-01,2016-12-31,233,"dynBiplotGUI",9159
2017-01-01,2017-01-31,643,"dynBiplotGUI",9802
2017-02-01,2017-02-28,1422,"dynBiplotGUI",11224
2017-03-01,2017-03-31,464,"dynBiplotGUI",11688
2017-04-01,2017-04-30,520,"dynBiplotGUI",12208
2017-05-01,2017-05-31,239,"dynBiplotGUI",12447
2017-06-01,2017-06-30,226,"dynBiplotGUI",12673
2017-07-01,2017-07-31,260,"dynBiplotGUI",12933
2017-08-01,2017-08-31,204,"dynBiplotGUI",13137
2017-09-01,2017-09-30,205,"dynBiplotGUI",13342
2017-10-01,2017-10-31,208,"dynBiplotGUI",13550
2017-11-01,2017-11-30,169,"dynBiplotGUI",13719
2017-12-01,2017-12-31,136,"dynBiplotGUI",13855
2018-01-01,2018-01-31,162,"dynBiplotGUI",14017
2018-02-01,2018-02-28,160,"dynBiplotGUI",14177
2018-03-01,2018-03-31,183,"dynBiplotGUI",14360
2018-04-01,2018-04-30,304,"dynBiplotGUI",14664
2018-05-01,2018-05-31,286,"dynBiplotGUI",14950
2018-06-01,2018-06-30,195,"dynBiplotGUI",15145
2018-07-01,2018-07-08,31,"dynBiplotGUI",15176
2016-07-01,2016-07-31,211,"ECharts2Shiny",211
2016-08-01,2016-08-31,203,"ECharts2Shiny",414
2016-09-01,2016-09-30,224,"ECharts2Shiny",638
2016-10-01,2016-10-31,200,"ECharts2Shiny",838
2016-11-01,2016-11-30,320,"ECharts2Shiny",1158
2016-12-01,2016-12-31,269,"ECharts2Shiny",1427
2017-01-01,2017-01-31,220,"ECharts2Shiny",1647
2017-02-01,2017-02-28,1282,"ECharts2Shiny",2929
2017-03-01,2017-03-31,323,"ECharts2Shiny",3252
2017-04-01,2017-04-30,444,"ECharts2Shiny",3696
2017-05-01,2017-05-31,473,"ECharts2Shiny",4169
2017-06-01,2017-06-30,275,"ECharts2Shiny",4444
2017-07-01,2017-07-31,263,"ECharts2Shiny",4707
2017-08-01,2017-08-31,1281,"ECharts2Shiny",5988
2017-09-01,2017-09-30,330,"ECharts2Shiny",6318
2017-10-01,2017-10-31,301,"ECharts2Shiny",6619
2017-11-01,2017-11-30,287,"ECharts2Shiny",6906
2017-12-01,2017-12-31,1369,"ECharts2Shiny",8275
2018-01-01,2018-01-31,286,"ECharts2Shiny",8561
2018-02-01,2018-02-28,256,"ECharts2Shiny",8817
2018-03-01,2018-03-31,289,"ECharts2Shiny",9106
2018-04-01,2018-04-30,379,"ECharts2Shiny",9485
2018-05-01,2018-05-31,313,"ECharts2Shiny",9798
2018-06-01,2018-06-30,416,"ECharts2Shiny",10214
2018-07-01,2018-07-08,83,"ECharts2Shiny",10297
2014-10-01,2014-10-31,8,"exCon",8
2014-11-01,2014-11-30,235,"exCon",243
2014-12-01,2014-12-31,205,"exCon",448
2015-01-01,2015-01-31,340,"exCon",788
2015-02-01,2015-02-28,260,"exCon",1048
2015-03-01,2015-03-31,382,"exCon",1430
2015-04-01,2015-04-30,395,"exCon",1825
2015-05-01,2015-05-31,362,"exCon",2187
2015-06-01,2015-06-30,374,"exCon",2561
2015-07-01,2015-07-31,324,"exCon",2885
2015-08-01,2015-08-31,303,"exCon",3188
2015-09-01,2015-09-30,286,"exCon",3474
2015-10-01,2015-10-31,304,"exCon",3778
2015-11-01,2015-11-30,254,"exCon",4032
2015-12-01,2015-12-31,227,"exCon",4259
2016-01-01,2016-01-31,360,"exCon",4619
2016-02-01,2016-02-29,365,"exCon",4984
2016-03-01,2016-03-31,227,"exCon",5211
2016-04-01,2016-04-30,218,"exCon",5429
2016-05-01,2016-05-31,182,"exCon",5611
2016-06-01,2016-06-30,163,"exCon",5774
2016-07-01,2016-07-31,201,"exCon",5975
2016-08-01,2016-08-31,127,"exCon",6102
2016-09-01,2016-09-30,140,"exCon",6242
2016-10-01,2016-10-31,169,"exCon",6411
2016-11-01,2016-11-30,212,"exCon",6623
2016-12-01,2016-12-31,184,"exCon",6807
2017-01-01,2017-01-31,991,"exCon",7798
2017-02-01,2017-02-28,198,"exCon",7996
2017-03-01,2017-03-31,204,"exCon",8200
2017-04-01,2017-04-30,342,"exCon",8542
2017-05-01,2017-05-31,172,"exCon",8714
2017-06-01,2017-06-30,163,"exCon",8877
2017-07-01,2017-07-31,881,"exCon",9758
2017-08-01,2017-08-31,211,"exCon",9969
2017-09-01,2017-09-30,209,"exCon",10178
2017-10-01,2017-10-31,175,"exCon",10353
2017-11-01,2017-11-30,179,"exCon",10532
2017-12-01,2017-12-31,108,"exCon",10640
2018-01-01,2018-01-31,169,"exCon",10809
2018-02-01,2018-02-28,144,"exCon",10953
2018-03-01,2018-03-31,121,"exCon",11074
2018-04-01,2018-04-30,210,"exCon",11284
2018-05-01,2018-05-31,162,"exCon",11446
2018-06-01,2018-06-30,134,"exCon",11580
2018-07-01,2018-07-08,28,"exCon",11608
2018-05-01,2018-05-31,130,"ExPanDaR",130
